DATE,DAY,MONTH,QUARTER,YEAR,WEEKDAY,MONTH_NAME,IS_WEEKEND,WEEK_OF_YEAR,FISCAL_YEAR
2023-03-11,11,3,1,2023,Saturday,March,1,10,2022
2023-03-12,12,3,1,2023,Sunday,March,1,10,2022
2023-03-13,13,3,1,2023,Monday,March,0,11,2022
2023-03-14,14,3,1,2023,Tuesday,March,0,11,2022
2023-03-15,15,3,1,2023,Wednesday,March,0,11,2022
2023-03-16,16,3,1,2023,Thursday,March,0,11,2022
2023-03-17,17,3,1,2023,Friday,March,0,11,2022
2023-03-18,18,3,1,2023,Saturday,March,1,11,2022
2023-03-19,19,3,1,2023,Sunday,March,1,11,2022
2023-03-20,20,3,1,2023,Monday,March,0,12,2022
2023-03-21,21,3,1,2023,Tuesday,March,0,12,2022
2023-03-22,22,3,1,2023,Wednesday,March,0,12,2022
2023-03-23,23,3,1,2023,Thursday,March,0,12,2022
2023-03-24,24,3,1,2023,Friday,March,0,12,2022
2023-03-25,25,3,1,2023,Saturday,March,1,12,2022
2023-03-26,26,3,1,2023,Sunday,March,1,12,2022
2023-03-27,27,3,1,2023,Monday,March,0,13,2022
